"TRADINGDATE","FUNDCLASSID","SYMBOL","NAV","ACCUMULATIVENAV","NAVGROWTHRATE","ACCUMULATIVENAVGROWTH","ADJUSTFACTOR","ACCADJUSTFACTOR","ADJUSTEDNAV","ADJUSTEDNAVGROWTH","RISKPREMIUM","UPDATEID","UPDATESTATE","UPDATETIME","BUSINESSTIME","UTSID"
2018-01-15 00:00:00.000,202000007287,"004685",1.0188,1.0188,-0.039246,-0.039246,1.000000,1.000000,1.018800,-0.039246,-0.043346,41160019,1,2018-01-23 00:33:10.000,2018-01-15 21:51:20.000,16478744
2018-04-02 00:00:00.000,202000007287,"004685",1.0353,1.0353,0.048319,0.048319,1.000000,1.000000,1.035300,0.048319,0.044219,42936769,1,2018-04-03 07:34:12.000,2018-04-02 21:51:44.000,17617083
2018-04-03 00:00:00.000,202000007287,"004685",1.0358,1.0358,0.048295,0.048295,1.000000,1.000000,1.035800,0.048295,0.044195,43204700,1,2018-04-04 05:34:19.000,2018-04-03 20:52:10.000,17621808
2018-05-31 00:00:00.000,202000007287,"004685",1.0456,1.0456,-0.038241,-0.038241,1.000000,1.000000,1.045600,-0.038241,-0.042341,45655078,1,2018-06-01 11:28:48.000,2018-05-31 20:52:35.000,18380298
2018-08-01 00:00:00.000,202000007287,"004685",1.0660,1.0660,-0.215295,-0.215295,1.000000,1.000000,1.066000,-0.215295,-0.219395,47051679,1,2018-08-02 09:14:43.000,2018-08-01 20:51:48.000,19153039
2018-10-10 00:00:00.000,202000007287,"004685",1.0590,1.0590,0.113443,0.113443,1.000000,1.000000,1.059000,0.113443,0.109343,56650813,1,2018-10-11 09:55:45.000,2018-10-10 20:50:50.000,20142343
2018-11-30 00:00:00.000,202000007287,"004685",1.0831,1.0831,-0.009232,-0.009232,1.000000,1.000000,1.083100,-0.009232,-0.013332,57495962,1,2018-12-01 02:03:14.000,2018-11-30 20:50:41.000,20885092
2019-01-28 00:00:00.000,202000007287,"004685",1.0895,1.0895,0.009179,0.009179,1.000000,1.000000,1.089500,0.009179,0.005079,68907287,1,2019-01-29 02:41:56.000,2019-01-28 20:50:19.000,22390232
2019-04-01 00:00:00.000,202000007287,"004685",1.0968,1.0968,-0.045566,-0.045566,1.000000,1.000000,1.096800,-0.045566,-0.049666,70750867,1,2019-04-02 04:18:23.000,2019-04-01 20:50:37.000,23282528
2019-05-29 00:00:00.000,202000007287,"004685",1.1229,1.1229,0.151623,0.151623,1.000000,1.000000,1.122900,0.151623,0.147523,134617504,1,2019-07-04 01:59:41.000,2019-05-29 20:51:01.000,26540847
2019-08-29 00:00:00.000,202000007287,"004685",1.1345,1.1345,0.008815,0.008815,1.000000,1.000000,1.134500,0.008815,0.004715,138584763,1,2019-08-30 19:06:14.000,2019-08-29 20:50:10.000,28131841
2019-10-24 00:00:00.000,202000007287,"004685",1.1713,1.1713,0.342671,0.342671,1.000000,1.000000,1.171300,0.342671,0.338571,146515993,1,2019-10-25 19:07:09.000,2019-10-24 20:53:54.000,29782978
2019-12-06 00:00:00.000,202000007287,"004685",1.1686,1.1686,0.274584,0.274584,1.000000,1.000000,1.168600,0.274584,0.270484,147759553,1,2019-12-09 19:05:45.000,2019-12-06 20:53:56.000,31010022
2020-01-22 00:00:00.000,202000007287,"004685",1.2582,1.2582,-0.253686,-0.253686,1.000000,1.000000,1.258200,-0.253686,-0.257786,151293859,1,2020-01-22 22:06:48.000,2020-01-22 20:52:22.000,36864004
