日期,大盘成长,大盘价值,小盘成长,小盘价值,中债-总财富(总值)指数
2018/1/2,4121.3303,7718.7006,5792.264,6652.2844,167.9581
2018/1/3,4176.9856,7711.1969,5855.2312,6707.1554,167.9608
2018/1/4,4203.9395,7730.1435,5884.2341,6777.576,167.884
2018/1/5,4212.487,7788.4143,5890.7672,6803.4579,168.0329
2018/1/8,4246.2679,7828.9701,5903.337,6879.5874,168.1576
2018/1/9,4271.2956,7867.9791,5904.5033,6887.7006,168.2002
2018/1/10,4277.7938,7963.4946,5868.1811,6847.7415,168.0328
2018/1/11,4267.9154,7956.7167,5896.5778,6827.1471,167.8964
2018/1/12,4294.1509,8036.9337,5867.8369,6830.5805,167.9581
2018/1/15,4255.3959,8152.7492,5752.5224,6716.7295,167.8256
2018/1/16,4294.6536,8210.4047,5774.8149,6833.6994,167.8418
2018/1/17,4296.0642,8223.2334,5760.265,6788.5105,167.799
2018/1/18,4310.6736,8311.8042,5776.2119,6857.7824,167.6835
2018/1/19,4329.4651,8327.2243,5752.5036,6845.0549,167.7088
2018/1/22,4421.647,8402.2591,5834.8233,6924.6065,167.8264
2018/1/23,4460.2316,8532.1462,5841.4448,6936.5267,167.8996
2018/1/24,4492.9878,8524.7295,5886.5149,6946.8344,167.9466
2018/1/25,4448.7612,8465.3577,5867.5128,6919.9796,167.9872
2018/1/26,4462.272,8529.2793,5871.5894,6936.2234,168.0409
2018/1/29,4371.8303,8408.4849,5808.4025,6877.6157,168.1
2018/1/30,4324.7473,8266.1408,5809.7205,6880.6904,168.1046
2018/1/31,4317.6432,8370.7248,5721.8917,6793.5305,168.2212
2018/2/1,4277.9618,8424.2004,5555.7304,6604.3725,168.3509
2018/2/2,4302.2009,8468.2211,5553.0012,6641.9059,168.3765
2018/2/5,4253.1034,8570.849,5515.5601,6673.0905,168.4014
2018/2/6,4086.4455,8379.5371,5299.3807,6359.8559,168.6722
2018/2/7,3986.0502,8104.6457,5311.4736,6308.1363,168.775
2018/2/8,4010.4865,7902.9028,5372.442,6341.0185,168.7751
2018/2/9,3835.9773,7551.8376,5213.9795,6068.0776,168.8258
2018/2/12,3925.1082,7572.5297,5363.3145,6216.0974,168.9518
2018/2/13,3958.3172,7701.9411,5387.119,6282.6423,169.0032
2018/2/14,3991.3249,7780.8582,5398.8928,6321.2534,169.0211
2018/2/22,4073.7165,7928.5394,5489.9933,6457.1041,169.1168
2018/2/23,4074.5342,7985.866,5493.2596,6481.5684,169.1975
2018/2/26,4157.3932,8026.9933,5622.8598,6590.5858,169.5971
2018/2/27,4088.6695,7852.2555,5627.267,6516.9498,169.8018
2018/2/28,4074.7626,7748.3054,5637.7672,6518.6317,169.8871
2018/3/1,4107.3985,7773.2674,5700.574,6553.2291,169.9225
